module,type,name,res_id,src,value,comments
hubi,model,"ir.model.fields,field_description",hubi.field_product_template_etiq_marenne_oleron,Etiq Marenne Oleron,Etiquette Marenne Oleron,
hubi,model,"ir.model.fields,field_description",hubi.field_product_product_etiq_mention,Etiq Mention,Etiquette Mention,
hubi,model,"ir.model.fields,field_description",hubi.field_product_template_etiq_mention,Etiq Mention,Etiquette Mention,
hubi,model,"ir.model.fields,field_description",hubi.field_res_partner_etiq_mention,Etiq Mention,Etiquette Mention,
hubi,model,"ir.model.fields,field_description",hubi.field_res_users_etiq_mention,Etiq Mention,Etiquette Mention,
hubi,model,"ir.model.fields,field_description",hubi.field_product_product_etiq_model_supple,Etiq Model Supplementary,Etiquette Modèle Supplèmentaire,
hubi,model,"ir.model.fields,field_description",hubi.field_product_template_etiq_model_supple,Etiq Model Supplementary,Etiquette Modèle Supplèmentaire,
hubi,model,"ir.model.fields,field_description",hubi.field_product_pricelist_item_etiq_modele,Etiq Modele,Etiquette Modèle,
hubi,model,"ir.model.fields,field_description",hubi.field_product_product_etiq_modele,Etiq Modele,Etiquette Modèle,
hubi,model,"ir.model.fields,field_description",hubi.field_product_template_etiq_modele,Etiq Modele,Etiquette Modèle,
hubi,model,"ir.model.fields,field_description",hubi.field_wiz_create_product_from_category_etiq_printer,Etiq Printer,Etiquette Imprimante,
hubi,model,"ir.model.fields,field_description",hubi.field_product_product_etiq_spanish,Etiq Spanish,Etiquette Espagnole,
hubi,model,"ir.model.fields,field_description",hubi.field_product_template_etiq_spanish,Etiq Spanish,Etiquette Espagnole,
hubi,model,"ir.model.fields,field_description",hubi.field_product_product_etiq_country1,Etiq country 1,Etiquette pays 1,
hubi,model,"ir.model.fields,field_description",hubi.field_product_template_etiq_country1,Etiq country 1,Etiquette pays 1,
hubi,model,"ir.model.fields,field_description",hubi.field_product_product_etiq_country2,Etiq country 2,Etiquette pays 2,
hubi,model,"ir.model.fields,field_description",hubi.field_product_template_etiq_country2,Etiq country 2,Etiquette pays 2,
hubi,model,"ir.model.fields,field_description",hubi.field_product_product_etiquette,Etiquette,Etiquette,
hubi,model,"ir.model.fields,field_description",hubi.field_product_template_etiquette,Etiquette,Etiquette,
hubi,model,"ir.ui.view,arch_db",hubi.hubi_product_template_form_inherited,Etiquette,Etiquette,
hubi,model,"ir.ui.view,arch_db",hubi.view_partner_customer,Etiquette,Etiquette,
hubi,model,"ir.ui.view,arch_db",hubi.view_partner_establishment,Etiquette,Etiquette,
hubi,selection,"res.partner,type_etiq",0,Etiquette Type 1,Etiquette Type 1,
hubi,selection,"res.partner,type_etiq",0,Etiquette Type 2,Etiquette Type 2,
hubi,selection,"res.partner,type_etiq",0,Etiquette Type 3,Etiquette Type 3,
hubi,model,"ir.model.fields,field_description",hubi.field_res_partner_excluded_packaging,Excluded packaging,Exclure Prévision Emballage,
hubi,model,"ir.model.fields,field_description",hubi.field_res_users_excluded_packaging,Excluded packaging,Exclure Prévision Emballage,
hubi,code,addons/hubi/static/src/xml/web_export_view_template.xml,8,Export,Export,openerp-web
hubi,selection,"product.pricelist.item,etiq_modele",0,FD Taste of the quality,FD Goût de la qualité,
hubi,selection,"product.template,etiq_modele",0,FD Taste of the quality,FD Goût de la qualité,
hubi,model,"ir.ui.view,arch_db",hubi.view_partner_customer,FRS - IFLS,FRS - IFLS,
hubi,model,"ir.model.fields,field_description",hubi.field_res_partner_frs_code,FRS Code,FRS Code,
hubi,model,"ir.model.fields,field_description",hubi.field_res_users_frs_code,FRS Code,FRS Code,
hubi,model,"ir.ui.menu,name",hubi.menu_hubi_family,Families,Familles,
hubi,model,"ir.ui.menu,name",hubi.menu_hubi_product_family,Families,Familles,
hubi,model,"ir.actions.act_window,name",hubi.action_hubi_partner_family,Family,Famille,
hubi,model,"ir.actions.act_window,name",hubi.action_hubi_product_family,Family,Famille,
hubi,model,"ir.model.fields,field_description",hubi.field_res_partner_family_id,Family,Famille,
hubi,model,"ir.model.fields,field_description",hubi.field_res_users_family_id,Family,Famille,
hubi,model,"ir.ui.view,arch_db",hubi.family_partner_search,Family,Famille,
hubi,model,"ir.ui.view,arch_db",hubi.hubi_family_form,Family,Famille,
hubi,model,"ir.ui.view,arch_db",hubi.report_product_sheet_price,Family,Famille,
hubi,model,"ir.ui.view,arch_db",hubi.view_hubi_family_tree,Family,Famille,
hubi,model,"ir.ui.view,arch_db",hubi.view_partner_customer,Family,Famille,
hubi,model,"ir.model.fields,field_description",hubi.field_delivery_carrier_fax,Fax,Fax,
hubi,model,"ir.model.fields,field_description",hubi.field_hubi_shipper_fax,Fax,Fax,
hubi,model,"ir.model.fields,field_description",hubi.field_hubi_labelmodel_file,File,Fichier,
hubi,model,"ir.model.fields,field_description",hubi.field_hubi_general_settings_account_file_transfer,File For Account Transfer,Fichier des comptes pour le Transfert Comptable,
hubi,model,"ir.model.fields,field_description",hubi.field_wiz_general_settings_account_file_transfer,File For Account Transfer,Fichier des comptes pour le Transfert Comptable,
hubi,model,"ir.model.fields,field_description",hubi.field_wiz_transfertcompta_account_file_transfer,File For Account Transfer,Fichier des comptes pour le Transfert Comptable,
hubi,model,"ir.model.fields,field_description",hubi.field_hubi_general_settings_writing_file_transfer,File For Writing Transfer,Fichier des écritures pour le Transfert Comptable,
hubi,model,"ir.model.fields,field_description",hubi.field_wiz_general_settings_writing_file_transfer,File For Writing Transfer,Fichier des écritures pour le Transfert Comptable,
hubi,model,"ir.model.fields,field_description",hubi.field_wiz_transfertcompta_writing_file_transfer,File For Writing Transfer,Fichier des écritures pour le Transfert Comptable,
hubi,model,"ir.model.fields,field_description",hubi.field_hubi_family_purchase_ok,For Purchase,Pour Achat,
hubi,model,"ir.model.fields,field_description",hubi.field_hubi_family_sale_ok,For Sale,Pour la Vente,
hubi,model,"ir.ui.view,arch_db",hubi.pricelist_item_hubi_form_view,Format,Format,
hubi,selection,"res.partner,periodicity_invoice",0,Fortnight,Quinzaine,
hubi,selection,"wiz.invoiceperiod,periodicity_invoice",0,Fortnight,Quinzaine,
hubi,model,"ir.ui.view,arch_db",hubi.department_search,France,France,
hubi,model,"ir.model.fields,field_description",hubi.field_account_invoice_report_free_product,Free Product,Produit Gratuit,
hubi,model,"ir.ui.view,arch_db",hubi.view_hubi_invoice_report_search,Free Product,Produit Gratuit,
hubi,model,"ir.actions.act_window,help",hubi.action_hubi_invoice_report_detail,"From this report, you can have an overview of the amount invoiced to your customers. The search tool can also be used to personalise your Invoices reports and so, match this analysis to your needs.","À partir de ce rapport, vous avez un aperçu du montant facturé à votre client. L'outil de recherche peut aussi être utilisé pour personnaliser l'analyse des factures, et ainsi mieux correspondre à vos besoins.",
hubi,model,"ir.actions.act_window,help",hubi.action_hubi_invoice_report_free,"From this report, you can have an overview of the free products invoiced to your customers. The search tool can also be used to personalise your Invoices reports and so, match this analysis to your needs.","À partir de ce rapport, vous avez un aperçu des produits gratuits facturés à votre client. L'outil de recherche peut aussi être utilisé pour personnaliser l'analyse des factures, et ainsi mieux correspondre à vos besoins.",
hubi,model,"ir.actions.act_window,help",hubi.action_hubi_invoice_report_weight,"From this report, you can have an overview of the weight invoiced to your customers. The search tool can also be used to personalise your Invoices reports and so, match this analysis to your needs.","À partir de ce rapport, vous avez un aperçu des poids facturés à votre client. L'outil de recherche peut aussi être utilisé pour personnaliser l'analyse des factures, et ainsi mieux correspondre à vos besoins.",
hubi,code,addons/hubi/reports/trial_balance_xlsx.py,67,From: %s To: %s,De: %s A: %s,
hubi,selection,"sale.report,invoice_status",0,Fully Invoiced,Facturé totalement,
hubi,selection,"sale.report.carrier,invoice_status",0,Fully Invoiced,Facturé totalement,
hubi,model,"ir.model,name",hubi.model_hubi_general_settings,General Settings,Paramètres généraux,
hubi,model,"ir.model,name",hubi.model_wiz_general_settings,General Settings,Paramètres généraux,
hubi,model,"ir.ui.menu,name",hubi.menu_hubi_general_settings,General Settings,Paramètres généraux,
hubi,model,"ir.ui.view,arch_db",hubi.wiz_general_settings_form,General Settings,Paramètres généraux,
hubi,model,"ir.model.fields,field_description",hubi.field_sale_report_carrier_weight,Gross Weight,Poids brut,
hubi,model,"ir.ui.view,arch_db",hubi.search_establishment,Group By,Regrouper par,
hubi,model,"ir.ui.view,arch_db",hubi.search_res_partner_filter,Group By,Regrouper par,
hubi,model,"ir.ui.view,arch_db",hubi.send_email_invoice_search,Group By,Regrouper par,
hubi,model,"ir.ui.view,arch_db",hubi.view_hubi_creditnote_filter,Group By,Regrouper par,
hubi,model,"ir.ui.view,arch_db",hubi.view_hubi_invoice_report_search,Group By,Regrouper par,
hubi,model,"ir.ui.view,arch_db",hubi.view_hubi_saleorder_report_search,Group By,Regrouper par,
hubi,model,"ir.ui.view,arch_db",hubi.view_hubi_saleorder_report_search_carrier,Group By,Regrouper par,
hubi,model,"ir.ui.view,arch_db",hubi.Price_List_Lines_search,Group by,Regrouper par,
hubi,model,"ir.ui.view,arch_db",hubi.create_product_from_category_search,Group by,Regrouper par,
hubi,model,"ir.ui.view,arch_db",hubi.family_partner_search,Group by,Regrouper par,
hubi,model,"ir.ui.view,arch_db",hubi.family_product_search,Group by,Regrouper par,
hubi,model,"ir.ui.view,arch_db",hubi.moduleoption_search,Group by,Regrouper par,
hubi,model,"ir.ui.view,arch_db",hubi.product_template_search_view_hubi,Group by,Regrouper par,
hubi,model,"ir.ui.view,arch_db",hubi.shipper_search,Group by,Regrouper par,
hubi,model,"ir.ui.view,arch_db",hubi.report_account_invoice_summary,HT,HT,
hubi,model,"ir.model.fields,field_description",hubi.field_res_partner_health_number,Health Number,Numéro Sanitaire,
hubi,model,"ir.model.fields,field_description",hubi.field_res_users_health_number,Health Number,Numéro Sanitaire,
hubi,model,"ir.model.fields,field_description",hubi.field_wiz_create_print_label_health_number,Health Number,Numéro Sanitaire,
hubi,model,"ir.actions.act_window,help",hubi.action_hubi_partner_family,Help,Aide,
hubi,model,"ir.actions.act_window,help",hubi.action_hubi_shipper,Help,Aide,
hubi,model,"ir.actions.act_window,help",hubi.action_miadi_etiquette_labelmodel,Help,Aide,
hubi,model,"ir.actions.act_window,help",hubi.action_miadi_etiquette_parameter,Help,Aide,
hubi,model,"ir.actions.act_window,help",hubi.action_miadi_etiquette_printer,Help,Aide,
hubi,code,addons/hubi/reports/trial_balance_xlsx.py,72,Hide,Caché,
hubi,model,"ir.ui.menu,name",hubi.menu_hubi,Hubi,Hubi,
hubi,model,"ir.model.fields,field_description",hubi.field_hubi_department_id,ID,ID,
hubi,model,"ir.model.fields,field_description",hubi.field_hubi_family_id,ID,ID,
hubi,model,"ir.model.fields,field_description",hubi.field_hubi_general_settings_id,ID,ID,
hubi,model,"ir.model.fields,field_description",hubi.field_hubi_labelmodel_id,ID,ID,
hubi,model,"ir.model.fields,field_description",hubi.field_hubi_module_option_id,ID,ID,
